wetland ,Nest ID,Nest #,Exposure,Date,#eggs,#cowbird eggs,#Cwyoung,# live young,# fledged,# dead,Surv,Survive,Year,Trial,NestHeight,Success,AverageSPL,DistEdge,DistWater,DistRoad,DistRailroad,WaterDepth,,
Brant Marsh,5AF,202837,1,23/05/2012,0,0,0,3,0,0,1,0,2012,1,1,1,52.92,4.73,3.64,24.54,133.31,0,,
Brant Marsh,5AF,202838,2,25/05/2012,0,0,0,3,0,0,1,0,2012,1,1,1,52.92,4.73,3.64,24.54,133.31,0,,
Brant Marsh,5AF,202839,3,28/05/2012,0,0,0,1,0,0,1,0,2012,1,1,1,52.92,4.73,3.64,24.54,133.31,0,,
Brant Marsh,5AF,202840,1,29/05/2012,0,0,0,0,0,0,1,0,2012,1,1,1,52.92,4.73,3.64,24.54,133.31,0,,
Brant Marsh,6AF,202834,4,10/05/2012,4,0,0,0,0,0,1,4,2012,1,1,0,54.75,5.43,6.35,26.04,140.89,0,,
Brant Marsh,6AF,202835,4,14/05/2012,4,0,0,0,0,0,1,4,2012,1,1,0,54.75,5.43,6.35,26.04,140.89,0,,
Brant Marsh,6AF,202836,2,16/05/2012,0,0,0,0,0,0,0,0,2012,1,1,0,54.75,5.43,6.35,26.04,140.89,0,,
Brant Marsh,7AF,202837,2,14/05/2012,3,0,0,0,0,0,1,3,2012,1,1,0,54.67,5.06,9.03,25.99,144.29,0,,
Brant Marsh,7AF,202838,4,18/05/2012,4,0,0,0,0,0,1,4,2012,1,1,0,54.67,5.06,9.03,25.99,144.29,0,,
Brant Marsh,7AF,202839,4,22/05/2012,4,0,0,0,0,0,1,4,2012,1,1,0,54.67,5.06,9.03,25.99,144.29,0,,
Brant Marsh,7AF,202840,1,23/05/2012,4,0,0,0,0,0,1,4,2012,1,1,0,54.67,5.06,9.03,25.99,144.29,0,,
Brant Marsh,7AF,202841,2,25/05/2012,2,0,0,2,0,0,1,2,2012,1,1,0,54.67,5.06,9.03,25.99,144.29,0,,
Brant Marsh,7AF,202842,3,28/05/2012,1,0,0,3,0,0,1,1,2012,1,1,0,54.67,5.06,9.03,25.99,144.29,0,,
Brant Marsh,7AF,202843,1,29/05/2012,0,0,0,0,0,0,0,0,2012,1,1,0,54.67,5.06,9.03,25.99,144.29,0,,
Brant Marsh,8JR,202821,3,10/05/2012,3,0,0,0,0,0,1,3,2012,1,1.2,1,50.92,6.48,10.44,72.16,36.50,0.04,,
Brant Marsh,8JR,202822,4,14/05/2012,4,0,0,0,0,0,1,4,2012,1,1.2,1,50.92,6.48,10.44,72.16,36.50,0.04,,
Brant Marsh,8JR,202823,4,18/05/2012,4,0,0,0,0,0,1,4,2012,1,1.2,1,50.92,6.48,10.44,72.16,36.50,0.04,,
Brant Marsh,8JR,202824,4,22/05/2012,0,0,0,4,0,0,1,4,2012,1,1.2,1,50.92,6.48,10.44,72.16,36.50,0.04,,
Brant Marsh,8JR,202825,1,23/05/2012,0,0,0,4,0,0,1,4,2012,1,1.2,1,50.92,6.48,10.44,72.16,36.50,0.04,,
Brant Marsh,8JR,202826,2,25/05/2012,0,0,0,4,0,0,1,4,2012,1,1.2,1,50.92,6.48,10.44,72.16,36.50,0.04,,
Brant Marsh,8JR,202827,3,28/05/2012,0,0,0,3,0,0,1,3,2012,1,1.2,1,50.92,6.48,10.44,72.16,36.50,0.04,,
Brant Marsh,8JR,202828,2,30/05/2012,0,0,0,3,0,0,1,3,2012,1,1.2,1,50.92,6.48,10.44,72.16,36.50,0.04,,
Brant Marsh,8JR,202829,2.5,1.5/05/2012,0,0,0,0,0,0,1,0,2012,1,1.2,1,50.92,6.48,10.44,72.16,36.50,0.04,,
Brant Marsh,6LM,202822,2,10/05/2012,2,0,0,0,0,0,1,2,2012,1,1.1,1,53.20,9.85,33.59,53.92,62.32,0.01,,
Brant Marsh,6LM,202823,4,14/05/2012,3,0,0,0,0,0,1,3,2012,1,1.1,1,53.20,9.85,33.59,53.92,62.32,0.01,,
Brant Marsh,6LM,202824,4,18/05/2012,3,0,0,0,0,0,1,3,2012,1,1.1,1,53.20,9.85,33.59,53.92,62.32,0.01,,
Brant Marsh,6LM,202825,4,22/05/2012,1,0,0,2,0,0,1,3,2012,1,1.1,1,53.20,9.85,33.59,53.92,62.32,0.01,,
Brant Marsh,6LM,202826,1,23/05/2012,0,0,0,3,0,0,1,3,2012,1,1.1,1,53.20,9.85,33.59,53.92,62.32,0.01,,
Brant Marsh,6LM,202827,2,25/05/2012,0,0,0,3,0,0,1,3,2012,1,1.1,1,53.20,9.85,33.59,53.92,62.32,0.01,,
Brant Marsh,6LM,202828,3,28/05/2012,0,0,0,3,0,0,1,3,2012,1,1.1,1,53.20,9.85,33.59,53.92,62.32,0.01,,
Brant Marsh,6LM,202829,2,30/05/2012,0,0,0,3,0,0,1,3,2012,1,1.1,1,53.20,9.85,33.59,53.92,62.32,0.01,,
Brant Marsh,6LM,202830,2.5,1.5/05/2012,0,0,0,0,0,0,1,0,2012,1,1.1,1,53.20,9.85,33.59,53.92,62.32,0.01,,
