Q1,Q2,Q3,Q1,Q2,Q3,Q1,Q2,Q3,Q1,Q2,Q3,Q1,Q2,Q3,Q1,Q2,Q3,Q1,Q2,Q3,Q1,Q2,Q3,Q1,Q2,Q3,Q1,Q2,Q3,Q1,Q2,Q3,Q1,Q2,Q3
NO,Yes,0.1,NO,Yes,0.1,NO,No,0.06,NO,No,0.06,NO,Yes,0.06,NO,Yes,0.2,NO,Yes,0.1,NO,Yes,0.1,NO,No,0.06,NO,Yes,0.06,NO,No,0.06,NO,No,0.06
NO,Yes,0.2,NO,Yes,0.3,Yes,No,0.05,Yes,No,0.07,NO,No,0.15,NO,Yes,0.4,NO,Yes,0.4,NO,Yes,0.4,NO,Yes,0.2,NO,No,0.1,NO,No,0.08,NO,Yes,0.1
NO,Yes,0.08,NO,Yes,0.08,Yes,No,0.05,Yes,No,0.05,NO,No,0.07,NO,Yes,0.15,NO,Yes,0.15,NO,Yes,0.18,NO,No,0.06,NO,Yes,0.07,Yes,No,0.05,NO,No,0.05
NO,No,0.5,Yes,No,0.5,Yes,No,0.5,Yes,No,0.5,Yes,No,0.5,NO,Yes,0.5,NO,Yes,0.5,NO,Yes,0.5,NO,Yes,0.5,NO,Yes,0.5,NO,Yes,0.5,NO,Yes,0.5
NO,Yes,0.1,NO,Yes,0.2,Yes,No,0.05,NO,No,0.05,NO,No,0.06,NO,Yes,0.3,NO,Yes,0.3,NO,Yes,0.3,Yes,No,0.05,Yes,No,0.06,NO,No,0.06,NO,No,0.06
NO,Yes,0.15,Yes,Yes,0.02,Yes,No,0,Yes,No,0,NO,Yes,0.3,NO,Yes,0.4,NO,Yes,0.15,NO,Yes,0.5,Yes,No,0,Yes,No,0,Yes,No,0,Yes,No,0
NO,Yes,0.1,NO,Yes,0.04,Yes,No,0.05,Yes,No,0.05,Yes,No,0.05,NO,Yes,0.15,NO,Yes,0.2,NO,Yes,0.1,Yes,No,0.05,NO,Yes,0.08,Yes,No,0.05,NO,No,0.06
Yes,No,0.05,Yes,No,0.05,Yes,Yes,0.05,Yes,No,0.05,Yes,No,0.05,NO,Yes,0.2,NO,Yes,0.3,NO,Yes,0.2,Yes,No,0.06,Yes,No,0.03,Yes,No,0.05,Yes,Yes,0.2
NO,Yes,0.2,NO,No,0.15,Yes,No,0.1,Yes,No,0.1,NO,Yes,0.3,NO,Yes,0.5,NO,Yes,0.5,NO,Yes,0.6,Yes,No,0.2,NO,Yes,0.4,Yes,No,0.3,Yes,No,0.3
NO,Yes,0.1,NO,No,0.05,Yes,No,0.05,Yes,No,0.05,NO,No,0.05,NO,Yes,0.1,NO,Yes,0.15,Yes,No,0.1,Yes,No,0.05,NO,No,0.05,Yes,No,0.05,NO,No,0.05
Yes,No,0.05,Yes,Yes,0.2,Yes,No,0.04,Yes,No,0.05,NO,Yes,0.3,NO,Yes,0.5,NO,Yes,0.4,NO,Yes,0.5,Yes,No,0.06,NO,No,0.1,Yes,No,0.1,Yes,No,0.05
NO,Yes,0.15,NO,Yes,0.4,Yes,No,0,Yes,No,0,Yes,No,0,NO,Yes,0.5,NO,No,0.6,NO,Yes,0.5,NO,Yes,0.1,NO,Yes,0.1,Yes,No,0,Yes,No,0
NO,Yes,0.07,NO,Yes,0.2,Yes,No,0.05,Yes,No,0.05,Yes,No,0.05,NO,Yes,0.1,NO,Yes,0.25,NO,Yes,0.3,NO,Yes,0.08,NO,Yes,0.1,Yes,No,0.05,NO,Yes,0.06
NO,No,0.1,NO,Yes,0.12,Yes,No,0.06,Yes,No,0.06,NO,No,0.06,NO,Yes,0.12,NO,Yes,0.1,NO,Yes,0.15,NO,No,0.07,NO,No,0.07,Yes,No,0.055,NO,No,0.06
NO,Yes,0.2,NO,Yes,0.2,Yes,No,0.05,Yes,No,0.05,Yes,No,0.06,NO,Yes,0.32,NO,Yes,0.32,Yes,Yes,0.1,Yes,No,0.06,Yes,Yes,0.06,Yes,No,0.05,Yes,No,0.05
